S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00003870	Erdos236.erdos_236	Let $f(n)$ count the number of solutions to $n=p+2^k$ for prime $p$ and $k\geq 0$. Show that $f(n)=o(\log n)$.	: (fun n => (f n : ℝ)) =o[atTop] (fun n => Real.log (n : ℝ))
S5-CLM-00003872	Erdos241.erdos_241.variants.generalization	More generally, Bose and Chowla [BoCh62] conjectured that the maximum size of $A\subseteq \{1,\ldots,N\}$ with all $r$-fold sums distinct (aside from the trivial coincidences) then $\lvert A\rvert \sim N^{1/r}.$	(r : ℕ) (hr : r ≥ 2) :  BoseChowlaConjecture r
S5-CLM-00003875	Erdos242.erdos_242	For every $n>2$ there exist distinct integers $1 ≤ x < y < z$ such that $\frac 4 n = \frac 1 x + \frac 1 y + \frac 1 z$.	(n : ℕ) (hn : 2 < n) :     ∃ x y z : ℕ, 1 ≤ x ∧ x < y ∧ y < z ∧       (4 / n : ℚ) = 1 / x + 1 / y + 1 / z
S5-CLM-00003876	Erdos242.erdos_242.variants.schinzel_generalization	Schinzel conjectured (see [Si56]) the generalisation that, for any fixed $a$, if $n$ is sufficiently large in terms of $a$ then there exist distinct integers $1\leq x < y < z$ such that $\frac{a}{n} = \frac{1}{x}+\frac{1}{y}+\frac{1}{z}.$	(a : ℕ) (ha : 0 < a) :     ∀ᶠ (n : ℕ) in Filter.atTop, ∃ x y z : ℕ, 1 ≤ x ∧ x < y ∧ y < z ∧       (a / n : ℚ) = 1 / x + 1 / y + 1 / z
S5-CLM-00003877	Erdos243.erdos_243	Let $a_1 < a_2 < \dots$ be a sequence of integers such that $\lim_{n\to\infty} \frac{a_n}{a_{n-1}^2} = 1$ and $\sum \frac{1}{a_n} \in \mathbb{Q}$.  Then, for all sufficiently large $n \ge 1$, $a_n = a_{n-1}^2 - a_{n-1} + 1$.	(a : ℕ → ℕ) (ha₀ : StrictMono a)     (ha₁ : Tendsto (fun n ↦ (a n : ℝ) / a (n - 1) ^ 2) atTop (𝓝 1))     (ha₂ : Summable ((1 : ℚ) / a ·)) :       ∀ᶠ n in atTop, a n = a (n - 1) ^ 2 - a (n - 1) + 1
S5-CLM-00003908	Erdos272.erdos_272.variants.szabo_strong	Szabo asks whether the maximal $t$ is given by $$   \frac{N^2}{2} + O(N) $$	:     (fun N ↦ (maxArithInterCard N - N ^ 2 / 2 : ℝ)) =O[atTop] fun N : ℕ ↦ (N : ℝ)
S5-CLM-00003912	Erdos274.herzog_schonheim	Let $G$ be a group, and let $A = \{a_1G_1, \dots, a_kG_k\}$ be a finite system of left cosets of subgroups $G_1, \dots, G_k$ of $G$.  Herzog and Schönheim conjectured that if $A$ forms a partition of $G$ with $k > 1$, then the indices $[G:G_1], \dots, [G:G_k]$ cannot be distinct.	{G : Type*} [Group G] (hG : 1 < ENat.card G) {ι : Type*} [Fintype ι]     (hι : 1 < Fintype.card ι) (P : Group.ExactCovering G ι) :     ∃ i j, i ≠ j ∧ (P.parts i).index = (P.parts j).index
S5-CLM-00003914	Erdos28.erdos_28	If $A ⊆ \mathbb{N}$ is such that $A + A$ contains all but finitely many integers then  $\limsup 1_A ∗ 1_A(n) = \infty$.	(A : Set ℕ) (h : (A + A)ᶜ.Finite) :     limsup (fun (n : ℕ) => (sumRep A n : ℕ∞)) atTop = (⊤ : ℕ∞)
S5-CLM-00003915	Erdos282.erdos_282	Let $A\subseteq \mathbb{N}$ be an infinite set and consider the following greedy algorithm for a rational $x\in (0,1)$: choose the minimal $n\in A$ such that $n\geq 1/x$ and repeat with $x$ replaced by $x-\frac{1}{n}$. If this terminates after finitely many steps then this produces a representation of $x$ as the sum of distinct unit fractions with denominators from $A$.  Does this process always terminate if $x$ has odd denominator and $A$ is the set of odd numbers?	{x : ℚ} (hx : x ∈ Set.Ioo 0 1) (hx_den : Odd x.den) :     greedyUnitFractionRem { n | Odd n } x =ᶠ[atTop] 0
S5-CLM-00003928	Erdos291.erdos_291.variants.shiu_heuristic_asymptotic	This leads to a heuristic prediction (see for example a preprint of Shiu [Sh16]) of $\asymp\frac{x}{\log x}$ for the number of $n\in [1,x]$ such that $(a_n,L_n)=1$.	:     Asymptotics.IsTheta atTop       (fun x : ℕ ↦ ((((Finset.Icc 1 x).filter (fun n ↦ Nat.gcd (a n) (L n) = 1)).card : ℝ)))       (fun x : ℕ ↦ (x : ℝ) / Real.log x)
S5-CLM-00003929	Erdos291.erdos_291.variants.shiu_heuristic_density_zero	In particular, there should be infinitely many $n$, but the set of such $n$ should have density zero. Unfortunately this heuristic is difficult to turn into a proof.	:     Filter.Tendsto (fun N : ℕ ↦       ((((Finset.Icc 1 N).filter (fun n ↦ Nat.gcd (a n) (L n) = 1)).card : ℝ) / (N : ℝ)))       atTop (nhds 0)
S5-CLM-00003945	Erdos313.erdos_313.variants.primary_pseudoperfect_are_infinite	It is conjectured that the set of primary pseudoperfect numbers is infinite.	:     Set.Infinite {n | IsPrimaryPseudoperfect n}
S5-CLM-00003966	Erdos324.erdos_324.variants.quintic	Probably $f(x) = x^5$ has the property that the sums $f(a)+f(b)$ with $a < b$ nonnegative integers are distinct.	: {(a, b) : ℕ × ℕ | a < b}.InjOn fun (a, b) => a ^ 5 + b ^ 5
S5-CLM-00003972	Erdos329.erdos_329.variants.converse_implication	The converse: if the maximum density is 1, then any finite Sidon set can be embedded in a perfect difference set modulo $n > 0$.  Since the consequent is false (due to the counterexamples in [Ha47] and [AlMi25]), this implication is logically equivalent to the statement that the maximum upper density of Sidon sets is NOT 1. Because the maximum upper density problem is still open, the truth value of this implication is also an open research problem.	:     (sSup {sidonUpperDensity A | (A : Set ℕ) (_ : IsSidon A)} = 1) →     (∀ (A : Finset ℕ), IsSidon (A : Set ℕ) → ∃ (D : Set ℕ) (n : ℕ) (_ : n > 0),       ↑A ⊆ D ∧ IsPerfectDifferenceSet D n)
S5-CLM-00003979	Erdos337.erdos_337.variants.ruzsa_turjanyi	Ruzsa and Turjányi do prove (under the same hypotheses) that $$ \lim_{N\to \infty}\frac{\lvert (A+A+A)\cap \{1,\ldots,3N\}\rvert} {\lvert A\cap \{1,\ldots,N\}\rvert}=\infty, $$ and conjecture that the same should be true with $(A+A)\cap \{1,\ldots,2N\}$ in the numerator.	:     ∀ A : Set ℕ, A.IsAsymptoticAddBasis →       (fun N : ℕ ↦ ((A ∩ Icc 1 N).ncard : ℝ)) =o[atTop] (fun N : ℕ ↦ (N : ℝ)) →       Tendsto (fun N : ℕ ↦           (((A + A) ∩ Icc 1 (2 * N)).ncard : ℝ) / ((A ∩ Icc 1 N).ncard : ℝ))         atTop atTop
S5-CLM-00003981	Erdos340.erdos_340	Let $A = \{1, 2, 4, 8, 13, 21, 31, 45, 66, 81, 97, \ldots\}$ be the greedy Sidon sequence: we begin with $1$ and iteratively include the next smallest integer that preserves the Sidon property (i.e. there are no non-trivial solutions to $a + b = c + d$). What is the order of growth of $A$? Is it true that $|A \cap \{1, \ldots, N\}| \gg N^{1/2 - \varepsilon}$ for all $\varepsilon > 0$ and large $N$?	(ε : ℝ) (hε : ε > 0) :     (fun n : ℕ ↦ √n / n ^ ε) =O[atTop]       fun n : ℕ ↦ ((Set.range greedySidon ∩ Set.Icc 1 n).ncard : ℝ)
S5-CLM-00003986	Erdos340.erdos_340.variants.sub_hasPosDensity	Erdős and Graham [ErGr80] also asked about the difference set $A - A$ and whether this has positive density.  [ErGr80] Erdős, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980).	:     Set.HasPosDensity (Set.range greedySidon - Set.range greedySidon)
S5-CLM-00003996	Erdos349.complete_for_alpha_in_Ioo_one_to_goldenRatio	It seems likely that the sequence is complete for all for all $t>0$ and all $1 < \alpha < \frac{1+\sqrt{5}}{2}$.	(t α : ℝ) (ht : 0 < t)     (hα : α ∈ Set.Ioo 1 ((1 + √5) / 2)) : IsGoodPair t α
S5-CLM-00004010	Erdos357.erdos_357.parts.i	Let $f(n)$ be the maximal $k$ such that there exist integers $1 \le a_1 < \dotsc < a_k \le n$ such that all sums of the shape $\sum_{u \le i \le v} a_i$ are distinct. Is $f(n)=o(n)$?	: (fun n ↦ (f n : ℝ)) =o[atTop] (fun n ↦ (n : ℝ))
S5-CLM-00004014	Erdos357.erdos_357.variants.hegyvari	Let $g(n)$ be the maximal $k$ such that there exist integers $1 \le a_1, \dotsc, a_k \le n$ such that all sums of the shape $\sum_{u \le i \le v} a_i$ are distinct. It is known that $$\left(\frac 1 3 + o(1) \right)n \leq g(n) \leq \left(\frac 2 3 + o(1) \right)n.$$	: ∃ (o o' : ℕ → ℝ), o =o[atTop] (1 : ℕ → ℝ) ∧     o' =o[atTop] (1 : ℕ → ℝ) ∧       ∀ᶠ n in atTop, (g n : ℝ) ∈ Set.Icc ((1 / 3 + o n) * n) ((2 / 3 + o' n)*n)
S5-CLM-00004015	Erdos357.erdos_357.variants.infinite_set_density	Suppose $A$ is an infinite set such that all finite sums of consecutive terms of $A$ are distinct. Then it is conjectured that $A$ has density 0.	(A : ℕ → ℕ) (hA : StrictMono A)     (hA : HasDistinctSums A) :     (Set.range A).HasDensity 0
S5-CLM-00004016	Erdos357.erdos_357.variants.infinite_set_sum	Suppose $A$ is an infinite set such that all finite sums of consecutive terms of $A$ are distinct. Then it is conjectured that the sum $\sum_k \frac{1}{a_k}$ converges.	(A : ℕ → ℕ) (hA : StrictMono A)     (hA : HasDistinctSums A) :     Summable (fun i ↦ (1 : ℝ) / A i)
S5-CLM-00004017	Erdos357.erdos_357.variants.monotone.parts.i	Let $h(n)$ be the maximal $k$ such that there exist integers $1 \le a_1 \leq \dotsc \leq a_k \le n$ such that all sums of the shape $\sum_{u \le i \le v} a_i$ are distinct. Is $h(n)=o(n)$?	: (fun n ↦ (h n : ℝ)) =o[atTop] (fun n ↦ (n : ℝ))
S5-CLM-00004023	Erdos358.erdos_358.variants.one_le	It is conjectured that if $A =\{a_1 < \cdots\}$ and $g$ counts the number of representations $$n=\sum_{u\leq i\leq v}a_i$$ such that the sum has at least two terms, then for all $n$ we have $1 \leq g(n)$ for sufficiently large $n$.	:     ∃ A, StrictMono A ∧ ∀ᶠ n in atTop, 1 ≤ g A n
S5-CLM-00004024	Erdos358.erdos_358.variants.prime_set	When $A =\{a_1 < \cdots\}$ corresponds to the set of primes, it is conjectured that the $\limsup$ of the number of representations $$n=\sum_{u\leq i\leq v}a_i$$ is infinite.	:     atTop.limsup (fun n ↦ (f (Nat.nth Nat.Prime) n : ℕ∞)) = ⊤
S5-CLM-00004025	Erdos358.erdos_358.variants.prime_set_density_representation	When $A =\{a_1 < \cdots\}$ corresponds to the set of primes, it is conjectured that the set of numbers $n$ that have representations $$n=\sum_{u\leq i\leq v}a_i$$ has positive upper density.	:     0 < {n : ℕ | intervalRepresentations (Nat.nth Nat.Prime) n |>.Nonempty}.upperDensity
S5-CLM-00004026	Erdos359.erdos_359.parts.i	Let $a_1< a_2 < ⋯ $ be an infinite sequence of integers such that $a_1=1$ and $a_{i+1}$ is the least integer which is not a sum of consecutive earlier $a_j$s. Show that $a_k / k \to \infty$.	(A : ℕ → ℕ) (hA : IsGoodFor A 1) :     atTop.Tendsto (fun k ↦ (A k : ℝ) / k) atTop
S5-CLM-00004027	Erdos359.erdos_359.parts.ii	Let $a_1< a_2 < ⋯ $ be an infinite sequence of integers such that $a_1=1$ and $a_{i+1}$ is the least integer which is not a sum of consecutive earlier $a_j$s. Show that $a_k / k ^ {1 + c} \to 0$ for any $c > 0$.	(A : ℕ → ℕ) (hA : IsGoodFor A 1) (c : ℝ) (hc : 0 < c):     atTop.Tendsto (fun k ↦ A k / (k : ℝ) ^ (1 + c)) (nhds 0)
S5-CLM-00004028	Erdos359.erdos_359.variants.isGoodFor_1_asymptotic	Suppose monotone sequence $A$ satisfies the following: `A 0 = 1` and for all `j`, `A (j + 1)` is the smallest natural number that cannot be written as a sum of consecutive terms of `A 0, ..., A j`. Then it is conjectured that $$a_k ~ \frac{k \log k}{\log \log k}$$.	(A : ℕ → ℕ) (hA : IsGoodFor A 1) :     (fun k ↦ (A k : ℝ)) ~[atTop] (fun k ↦ k * (k : ℝ).log / (k : ℝ).log.log)
S5-CLM-00004040	Erdos364.erdos_364	There is no consecutive triple of powerful numbers.	:     ¬ ∃ (n : ℕ), Powerful n ∧ Powerful (n + 1) ∧ Powerful (n + 2)
S5-CLM-00004041	Erdos364.erdos_364.variants.strong	Erdős [Er76d] conjectured a stronger statement: if $n_k$ is the $k$th powerful number, then $n_{k+2} - n_k > n_k^c$ for some constant $c > 0$.  [Er76d] Erdős, P., Problems and results on number theoretic properties of consecutive integers and related questions. Proceedings of the Fifth Manitoba Conference on Numerical Mathematics (Univ. Manitoba, Winnipeg, Man., 1975) (1976), 25-44.	:     ∃ (c : ℝ) (h : c > 0), ∀ (k : ℕ),     Nat.nth Powerful (k + 2) - Nat.nth Powerful k > (Nat.nth Powerful k : ℝ) ^ c
S5-CLM-00004043	Erdos371.erdos_371	Let $P(n)$ denote the largest prime factor of $n$. Show that the set of $n$ with $P(n+1) > P(n)$ has density $\frac{1}{2}$.	:     { n | Nat.maxPrimeFac (n + 1) > Nat.maxPrimeFac n }.HasDensity (1/2)
S5-CLM-00004044	Erdos373.erdos_373	Show that the equation `n!=a_1!a_2!···a_k!`, with `n−1 > a_1 ≥ a_2 ≥ ··· ≥ a_k`, has only finitely many solutions.	: S.Finite
S5-CLM-00004045	Erdos373.erdos_373.variants.maximal_solution	Hickerson conjectured the largest solution the equation `n!=a_1!a_2!···a_k!`, with `n−1 > a_1 ≥ a_2 ≥ ··· ≥ a_k`, is `16!=14!5!2!`.	:     (16, [14, 5, 2]) ∈ S ∧ ∀ s ∈ S, s.fst ≤ 16
S5-CLM-00004047	Erdos373.erdos_373.variants.suranyi	Surányi was the first to conjecture that the only non-trivial solution to `a!b!=n!` is `6!7!=10!`.	:     {(n, a, b) : ℕ × ℕ × ℕ | n ! = a ! * b ! ∧ 1 < n ∧ 1 < a ∧ 1 < b ∧ b ≤ a ∧ a + 1 ≠ n}       = {(10, 7, 6)}
S5-CLM-00004061	Erdos394.erdos_394.variants.hall_conjecture	Erdős and Hall conjecture that the sum is $o(x^2/(\log x)^c)$ for any $c<\log 2$.	:     ∀ c < Real.log 2, (fun x ↦ ∑ n ∈ Icc 1 ⌊x⌋₊,     (t 2 n : ℝ)) =o[atTop]     (fun x ↦ x ^ 2 / (Real.log x) ^ c)
S5-CLM-00004073	Erdos406.erdos_406.variants.one_two	If we only allow the digits $1$ and $2$ then $2^{15}$ seems to be the largest such power of $2$.	:     IsGreatest { n | n.isPowerOfTwo ∧ Nat.digits 3 n ⊆ [1, 2] } (2 ^ 15)
S5-CLM-00004078	Erdos409.erdos_409.variants.sigma_termination	If $n > 1$ then the iteration $n\mapsto\sigma(n) - 1$ necessarily reaches a prime. Note: this is open — it is not clear that the σ iteration always terminates, since it is non-decreasing (unlike the φ iteration which is strictly decreasing).	(n : ℕ) (hn : n > 1) :     ∃ i, (σ 1 · - 1)^[i] n |>.Prime
S5-CLM-00004079	Erdos41.erdos_41	Let `A ⊆ ℕ` be an infinite set such that the triple sums `a + b + c` are all distinct for `a, b, c` in `A` (aside from the trivial coincidences). Is it true that `liminf n → ∞ |A ∩ {1, …, N}| / N^(1/3) = 0`?	(A : Set ℕ) (h_triple : NtupleCondition A 3) (h_infinite : A.Infinite) :     Filter.atTop.liminf (fun N => (A ∩ Icc 1 N).ncard / (N : ℝ)^(1/3 : ℝ)) = 0
S5-CLM-00004086	Erdos416.erdos_416.parts.i	Let `V(x)` count the number of `n≤x` such that `ϕ(m)=n` is solvable. Does `V(2x)/V(x)→2` ?	:     Filter.Tendsto (fun x => (V (2 * x) / V (x))) Filter.atTop (𝓝 2)
S5-CLM-00004133	Erdos477.erdos_477.variants.X_pow_three	Probably there is no such $A$ for the polynomial $X^3$.	:     letI f := X ^ 3     ∀ A : Set ℤ, ∃ z, ¬ ∃! a ∈ A ×ˢ (f.eval '' {n | 0 < n}), z = a.1 + a.2
S5-CLM-00004135	Erdos477.erdos_477.variants.monomial	Probably there is no such $A$ for the polynomial $X^k$ for any $k \ge 2$. This is asked in [Sek59].	(k : ℕ) (hk : 2 ≤ k) :     letI f := X ^ k     ∀ A : Set ℤ, ∃ z, ¬ ∃! a ∈ A ×ˢ (f.eval '' {n | 0 < n}), z = a.1 + a.2
S5-CLM-00004206	Erdos535.erdos_535	Let $r \geq 3$, and let $f_r(N)$ denote the size of the largest subset of $\{1,\ldots,N\}$ such that no subset of size $r$ has the same pairwise greatest common divisor between all elements. Erdős [Er64] proved that $f_3(N) > N^{c/\log\log N}$ for some constant $c > 0$, and conjectured this should also be an upper bound; here we state the conjectural upper bound for all $r \geq 3$.  See also [536].	: ∀ r ≥ 3, ∃ c > (0 : ℝ),     ∀ᶠ (N : ℕ) in atTop,       (f r N : ℝ) ≤ (N : ℝ) ^ (c / log (log (N : ℝ)))
S5-CLM-00004208	Erdos535.erdos_535.variants.first_open_case	The first open case of Erdős Problem 535 is $r = 3$: there should exist $c > 0$ such that $f_3(N) \leq N^{c/\log\log N}$ for all sufficiently large $N$.	: ∃ c > (0 : ℝ),     ∀ᶠ (N : ℕ) in atTop,       (f 3 N : ℝ) ≤ (N : ℝ) ^ (c / log (log (N : ℝ)))
S5-CLM-00004211	Erdos535.erdos_535.variants.sunflower_strong	Erdős [Er73] records that Abbott pointed out the ordinary sunflower conjecture does not seem to suffice here. The stronger auxiliary conjecture uses $Ω(n)=k$, i.e. prime factors counted with multiplicity; this stronger statement would imply the conjectured upper bound for $f_r(N)$.	{r : ℕ} (hr : 3 ≤ r) :     ∃ c_r > (0 : ℝ),       ∀ k : ℕ, ∀ A : Finset ℕ,         AllBigOmega k A →         NoConstantPairwiseGcdCoprimeSubsets r A →         (A.card : ℝ) ≤ c_r ^ k
S5-CLM-00004215	Erdos539.erdos_539.variants.isBigO_sq	To prove `erdos_539.variants.sq` it suffices to show $$ h(n)\ll n^{1/2}$$.	:     (fun n ↦ (cofactorThreshold n : ℝ)) =O[atTop] fun n ↦ √n
S5-CLM-00004218	Erdos539.erdos_539.variants.sq	Let $h(n)$ be maximal such that, for any set $A\subseteq \mathbb{N}$ of size $n$, the set$$\left\{ \frac{a}{(a,b)}: a,b\in A\right\}$$has size at least $h(n)$. Is $h(n) = \Theta(\sqrt{n})$?	:     (fun n ↦ (cofactorThreshold n : ℝ)) =Θ[atTop] fun n ↦ √n
S5-CLM-00004219	Erdos539.erdos_539.variants.sq_cube_root	Let $h(n)$ be maximal such that, for any set $A\subseteq \mathbb{N}$ of size $n$, the set$$\left\{ \frac{a}{(a,b)}: a,b\in A\right\}$$has size at least $h(n)$. Is $h(n) = \Theta(n^{2/3})$?	:     (fun n ↦ (cofactorThreshold n : ℝ)) =Θ[atTop] fun n ↦ (n : ℝ) ^ ((2 : ℝ) / 3)
S5-CLM-00004220	Erdos539.erdos_539.variants.sq_cube_root_isBigO	To prove `erdos_539.variants.sq_cube_root` it suffices to show $$n^{2/3}\ll h(n)$$.	:     (fun n : ℕ ↦ (n : ℝ) ^ ((2 : ℝ) / 3)) =O[atTop] fun n ↦ (cofactorThreshold n : ℝ)
S5-CLM-00004255	Erdos60.erdos_60	Does every graph on $n$ vertices with $>\mathrm{ex}(n;C_4)$ edges contain $\gg n^{1/2}$ many copies of $C_4$?	:     ∃ c : ℝ, c > 0 ∧       ∀ᶠ n : ℕ in atTop,         ∀ (G : SimpleGraph (Fin n)) [DecidableRel G.Adj],           (extremalNumber n (cycleGraph 4) < G.edgeFinset.card) →           (c * Real.sqrt (n : ℝ) ≤ ({ H' : G.Subgraph | Nonempty (H'.coe ≃g cycleGraph 4) }.ncard : ℝ))
S5-CLM-00004272	Erdos617.erdos_617	Let $r\geq 3$. If the edges of $K_{r^2+1}$ are $r$-coloured then there exist $r+1$ vertices with at least one colour missing on the edges of the induced $K_{r+1}$.  In other words, there is no balanced colouring.  A conjecture of Erdős and Gyárfás [ErGy99].	(r : ℕ) (hr : r ≥ 3) {V : Type} [Fintype V] [DecidableEq V]     (hV : Fintype.card V = r^2 + 1) (coloring : Sym2 V → Fin r) :     ∃ (S : Finset V) (k : Fin r),       S.card = r + 1 ∧       ∀ u ∈ S, ∀ v ∈ S, u ≠ v → coloring s(u, v) ≠ k
S5-CLM-00004280	Erdos624.erdos_624	Let $X$ be a finite set of size $n$ and $H(n)$ be such that there is a function $f:\{A : A\subseteq X\}\to X$ so that for every $Y\subseteq X$ with $\lvert Y\rvert \geq H(n)$ we have $\left\{ f(A) : A\subseteq Y\right\}=X$. Prove that $H(n)-\log_2 n \to \infty$.	:     atTop.Tendsto (fun n : ℕ => H n - Real.logb 2 (n : ℝ)) atTop
S5-CLM-00004281	Erdos628.erdos_628	Let $G$ be a graph with chromatic number $k$ containing no $K_k$. If $a,b\geq 2$ and $a+b=k+1$ then must there exist two disjoint subgraphs of $G$ with chromatic numbers $\geq a$ and $\geq b$ respectively?	(V : Type*) [Fintype V] (G : SimpleGraph V) (k : ℕ)     (hG_chrom : G.chromaticNumber = (k : ℕ∞))     (hG_clique : G.CliqueFree k)     (a b : ℕ) (ha : a ≥ 2) (hb : b ≥ 2) (hab : a + b = k + 1) :     ∃ (s : Set V),       (G.induce s).chromaticNumber ≥ (a : ℕ∞) ∧       (G.induce sᶜ).chromaticNumber ≥ (b : ℕ∞)
S5-CLM-00004302	Erdos677.erdos_677	Denote by $M(n, k)$ the least common multiple of the finite set $\{n+1, \dotsc, n+k\}$. Is it true that for all $m \geq n + k$, we get $M(m, k) \neq M(n, k)$?	:     ∀ (m n k : ℕ), k > 0 → m ≥ n + k → lcmInterval m k ≠ lcmInterval n k
S5-CLM-00004308	Erdos683.erdos_683.variant.exp_sqrt	Standard heuristics suggest that $P(n, k) > e^{c\sqrt{k}}$ for some constant $c > 0$.	:     ∃ c > 0, ∀ n k : ℕ, 0 < k ∧ k ≤ n / 2 → P n k > Real.exp (c * Real.sqrt k)
