high	A000001	bcd76aa4	The number of groups satisfies a(i)a(j)<=a(ij) for all nonnegative i,j.	I conjecture that a(i) * a(j) <= a(i*j) for all nonnegative integers i and j.
medium	A333090	0b7df590	A333090: We conjecture that the sequence satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for all primes p >= 5 and positive integers n and k.	We conjecture that the sequence satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for all primes p >= 5 and positive integers n and k.
medium	A333090	59f4b0d5	For every integer m, the Taylor-polynomial sequence built from the Schroeder generating function S(x)^(mn) satisfies the preceding p^(3k) supercongruences.	More generally, for each integer m, we conjecture that the sequence {a_m(n) : n >= 0}, defined by setting a_m(n) = the n-th order Taylor polynomial of S(x)^(m*n) evaluated at x = 1, satisfies the same supercongruences. See A333091 for m = 2 and A333092 for m = 3. For similarly defined sequences see A333093 through A333097.
medium	A333093,A333097	17f75e34	A333093 and A333097: We conjecture that the sequence satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for prime p >= 5 and positive integers n and k.	We conjecture that the sequence satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for prime p >= 5 and positive integers n and k.
medium	A333097	7b349450	For every integer m, the Taylor-polynomial sequence built from the Catalan generating function c(x)^(mn) satisfies the preceding p^(3k) supercongruences.	More generally, for each integer m, we conjecture that the sequence a_m(n) := the n-th order Taylor polynomial of c(x)^(m*n) evaluated at x = 1 satisfies the same supercongruences. For cases see A099837 (m = -2), A100219 (m = -1), A000012 (m = 0), A333093 (m = 1), A333094 (m = 2), A333095 (m = 3), A333096 (m = 4).
medium	A333715	9454b522	Every subsequence a(mn) of A333715 satisfies the stated degree-6m three-term recurrence.	For fixed m = 1,2,3,..., we conjecture that the sequence b(n) := a(m*n) satisfies a recurrence of the form P(6*m,n)*b(n+1) + P(6*m,-n)*b(n-1) = Q(3*m,n^2)*b(n), where the polynomials P(6*m,n) and Q(3*m,n^2) have degree 6*m.
medium	A333715	ce04a4dd	A333715: We conjecture that a(n) satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for prime p >= 5 and positive integers n and k.	We conjecture that a(n) satisfies the stronger supercongruences a(n*p^k) == a(n*p^(k-1)) ( mod p^(3*k) ) for prime p >= 5 and positive integers n and k.
medium	A336957	03b7f2db	A336957: We conjecture that even if p is introduced by some prime q>2, 2*p appears later.	We conjecture that even if p is introduced by some prime q>2, 2*p appears later.
medium	A343464	a199d88d	Every minimally non-Hamming-embeddable graph is planar.	I conjecture (on admittedly weak evidence) that these graphs are always planar.
medium	A347854	cb8f9ad6	The displayed hypergeometric ordinary generating function for A347854 is algebraic over Q(x).	O.g.f.: A(x) = hypergeom([1/12, 5/12, 7/12, 11/12], [1/3, 1/2, 2/3], 27648*x^2) + 40*x*hypergeom([11/12, 13/12, 7/12, 17/12], [3/2, 5/6, 7/6], 27648*x^2) is conjectured to be algebraic over Q(x).
medium	A347855	baa9cabb	The displayed hypergeometric ordinary generating function for A347855 is algebraic over Q(x).	O.g.f.: A(x) = hypergeom([11/12, 7/12, 5/12, 1/12], [2/3, 1/2, 1/3], 27648*x^3) + 9*x*hypergeom([11/12, 5/4, 5/12, 3/4], [5/6, 4/3, 2/3], 27648*x^3) + 189*x^2*hypergeom([19/12, 13/12, 5/4, 3/4], [7/6, 5/3, 4/3], 27648*x^3) is conjectured to be algebraic over Q(x).
medium	A347856	a66d6d34	The displayed hypergeometric ordinary generating function for A347856 is algebraic over Q(x).	O.g.f. A(x) = hypergeom([1/12, 1/6, 5/12, 7/12, 5/6, 11/12], [1/8, 3/8, 1/2, 5/8, 7/8], (19683/4)*x^2) + 20*x*hypergeom([17/12, 13/12, 11/12, 7/12, 4/3, 2/3], [11/8, 9/8, 7/8, 5/8, 3/2], (19683/4)*x^2) is conjectured to be algebraic over Q(x).
medium	A347856	d8ba7418	The gamma/factorial ratio defining A347856 is conjectured to be an integer for every nonnegative index.	The sequence is conjectured to be integral.
medium	A347857	6c673c16	The displayed hypergeometric ordinary generating function for A347857 is algebraic over Q(x).	O.g.f. A(x) = hypergeom([1/12, 1/3, 5/12, 7/12, 2/3, 11/12], [1/5, 2/5, 1/2, 3/5, 4/5], (2^10*3^9/5^5)*x^2) + 24*x*hypergeom([7/12, 5/6, 11/12, 13/12, 7/6, 17/12], [7/10, 9/10, 11/10, 13/10, 3/2], (2^10*3^9/5^5)*x^2) is conjectured to be algebraic over Q(x).
medium	A347857	fde68ada	Every term of A347857's fractional-factorial formula is an integer.	The sequence is conjectured to be integral.
medium	A347858	4444ed0d	The displayed hypergeometric ordinary generating function for A347858 is algebraic over Q(x).	O.g.f.: A(x) = hypergeom([1/18, 5/18, 7/18, 11/18, 13/18, 17/18], [1/4, 1/3, 1/2, 2/3, 3/4], (2^4)*(3^12)*x^2) + 512*x*hypergeom([5/9, 7/9, 8/9, 10/9, 11/9, 13/9], [3/4, 5/6, 7/6, 5/4, 3/2], (2^4)*(3^12)*x^2) is conjectured to be algebraic over Q(x).
medium	A347858	9aed63c0	The gamma/factorial ratio defining A347858 is conjectured to be integral at every nonnegative index.	The sequence is conjectured to be integral.
medium	A351413	db274dee	For every power-of-two order, a Latin stable-marriage instance attains the general maximum number of stable matchings.	For sizes 1 to 4, Latin instances provide exact bounds; they are conjectured to provide exact bounds for sizes a power of 2; they provide the best lower bounds known for sizes 6, 10, 12, and 24, of 48, 1000, 6472, and 126112960, respectively.
medium	A352655	f07abd5a	For every prime p at least 5, A352655(p) is congruent to 2 modulo p^5.	We conjecture that the stronger supercongruences a(p) == 2 (mod p^5) hold for primes p >= 5.
medium	A354753	7c8579cc	A354753: The sequence is conjectured to be a permutation of the positive integers.	The sequence is conjectured to be a permutation of the positive integers.
medium	A354803	694c41af	A354803: The sequence is conjectured to be a permutation of the positive integers.	The sequence is conjectured to be a permutation of the positive integers.
medium	A357512	0be1be55	For each m at least 2, a finite exceptional prime set P(m) controls an n^4 divisibility supercongruence for the weighted Apery-type sum u(n).	Let m >= 2 and set u(n) = Sum_{k = 0..n} k^(2*m+1) * binomial(n,k)^2 * binomial(n+k,k)^2. We conjecture that there is a finite set of primes P(m) such that u(n-1) == 0 (mod n^4) for all odd numbers n not divisible by an element of P(m). For example, calculation suggests that P(2) = {3} (the present sequence), while conjecturally P(3) = {3, 5}, P(4) = {3, 7}, P(5) = {3, 5}, P(6) = {3, 11}, P(7) = {3, 5, 7, 13}, P(8) = {3}, P(9) = {3} and P(10) = {3, 7, 19}.
medium	A360042	0815ae70	A Farey fan of order n has A005598(n) regions.	The number of vertices along each edge is A005728(n), while the number of regions is conjectured to equal A005598(n) = 1 + Sum_{i=1..n} (n-i+1)*phi(i).
medium	A362676,A363985	388a4138	Both A362676 and A363985 satisfy u(np^r) congruent to u(np^(r-1)) modulo p^(3r) for primes p at least 5.	We conjecture that the present sequence satisfies the same supercongruences.
medium	A362722	832de845	A362722 satisfies the three exact Apéry-type supercongruences listed in the entry.	1) the supercongruence a(p^r) == a(p^(r-1)) (mod p^(2*r+1)) holds for all primes p >= 5. 2) for n >= 2, a(n*p) == a(n) (mod p^2) holds for all primes p >= 3. 3) for r >= 2, the supercongruence a(n*p^r) == a(n*p^(r-1)) (mod p^(2*r)) holds for all primes p >= 3 and n >= 1.
medium	A363409	dcc8da02	A363409: We conjecture that the set of type 2 primes consists of primes p == 1 or 3 (mod 8), i.e., rational primes that split in the field extension Q(sqrt(-2)) of Q.	We conjecture that the set of type 2 primes consists of primes p == 1 or 3 (mod 8), i.e., rational primes that split in the field extension Q(sqrt(-2)) of Q.
medium	A363416	6367d59d	A363416: We conjecture that in this case, unlike in A105750, the set of type 1 primes is empty; that is, every prime p divides some term of this sequence.	We conjecture that in this case, unlike in A105750, the set of type 1 primes is empty; that is, every prime p divides some term of this sequence.
medium	A363416	78c9f8ed	A363416: We conjecture that the set of type 2 primes consists of primes p == 1, 3, 7 or 9 (mod 20), equivalently, rational primes that split in the field extension Q(sqrt(-5)) of Q, together with the prime p = 2.	We conjecture that the set of type 2 primes consists of primes p == 1, 3, 7 or 9 (mod 20), equivalently, rational primes that split in the field extension Q(sqrt(-5)) of Q, together with the prime p = 2.
medium	A363416	cd58469c	A363416: We conjecture that the set of type 3 primes consists of primes p == 11, 13, 17 or 19 (mod 20), equivalently, primes that remain inert in the field extension Q(sqrt(-5)) of Q, together with the prime p = 5, which ramifies in Q(sqrt(-5)).	We conjecture that the set of type 3 primes consists of primes p == 11, 13, 17 or 19 (mod 20), equivalently, primes that remain inert in the field extension Q(sqrt(-5)) of Q, together with the prime p = 5, which ramifies in Q(sqrt(-5)).
medium	A363985	6af6fbc0	For every integer m, both parameterized binomial-sum families u_m and v_m satisfy the preceding p^(3r) Franel-type supercongruences.	More generally, define two families of sequences {u_m(n): n >= 0} and {v_m(n): n >= 0}, depending on an integer parameter m, by u_m(n) = Sum_{k = 0..n} (-4)^(n-k)*binomial(n,k)*binomial(m*n + k,k)*binomial(2*k,k) and v_m(n) = Sum_{k = 0..n} (-4)^(n-k)*binomial(n,k)*binomial(m*n + 2*k,2*k)*binomial(2*k,k). In this notation, the Franel numbers A000172 = v_1. Note that u_0(n) = v_0(n) = (-1)^n*binomial(2*n,n). We conjecture that, for all m in Z, the sequences u_m and v_m satisfy the above supercongruences.
medium	A364303	0c181b47	Every row sequence of A364303 satisfies u(np^r) congruent to u(np^(r-1)) modulo p^(3r) for primes p at least 5.	We conjecture that each row sequence of the table satisfies the same supercongruences.
medium	A364506	54aecbc0	Every row sequence of A364506 satisfies the stated mod-p^(3r) supercongruences.	It is known that both row 0, the central binomial numbers, and row 1, the de Bruijn numbers, satisfy the supercongruences u(n*p^r) == u(n*p^(r-1)) (mod p^(3*r)) for all primes p >= 5 and all positive integers n and r. We conjecture that all the row sequences of the table satisfy the same supercongruences.
medium	A370101	8774d5cd	A370101: We conjecture that the stronger supercongruences a(n*p^r) == a(n*p^(r-1)) ( mod p^(3*r) ) hold for all primes p >= 5 and all positive integers n and r.	We conjecture that the stronger supercongruences a(n*p^r) == a(n*p^(r-1)) ( mod p^(3*r) ) hold for all primes p >= 5 and all positive integers n and r.
medium	A376466	a4e6ec89	A376466 satisfies both displayed Apéry-type supercongruence families.	We conjecture that the present sequence satisfies the same pair of supercongruences.
medium	A377091	05c6fef3	All four explicitly enumerated A377091 conjectures are jointly asserted true.	I conjecture that all four are true.
medium	A380290	d1c3c63e	A380290: We conjecture that a(p) == 1 (mod p^3) for all primes p >= 7 (checked up to p = 61).	We conjecture that a(p) == 1 (mod p^3) for all primes p >= 7 (checked up to p = 61).
medium	A380290	d4f565a6	A380290 satisfies a(n p^r) congruent to a(n p^(r-1)) modulo p^(3r) for every prime p at least 7 and positive n,r.	More generally, we conjecture that the supercongruence a(n*p^r) == a(n*p^(r-1)) (mod p^(3*r)) holds for all primes p >= 7 and positive integers n and r.
medium	A391251	9d832c56	The odd members of A391251 are exactly binary-palindromic odd powers of Mersenne numbers.	The odd terms 1, 3, 7, 15, 27, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191, ..., are conjectured to be given by binary palindromes (A006995) that are equal to A000225(n)^(2*e-1), for some n, e >= 1.
